,,,,,,Cell,(pos to neg),,,,,Cell,(neg to pos),,,,,,
,Report Frame,BICM #,# cells,Cell #,Charge Bleed Command,1,2,3,4,,Neg to pos,1,2,3,4,,,,
Positive,0x460:,1,3,1-3,300#XX.00.00.00.00.00.00.00,01,02,04,,,94-96,04,02,01,,X,,,
,0x470:,1,3,4-6,300#XX.00.00.00.00.00.00.00,08,10,20,,,91-93,20,10,08,,X,,,
,0x461:,1,4,7-10,300#00.XX.00.00.00.00.00.00,08,04,02,01,,87-90,08,04,02,01,X,,,
,0x471:,1,4,11-14,300#00.XX.00.00.00.00.00.00,80,40,20,10,,83-86,80,40,20,10,X,,,
,0x462:,1,4,15-18,300#00.00.XX.00.00.00.00.00,01,02,04,08,,79-82,08,04,02,01,X,,,
,0x472:,1,4,19-22,300#00.00.XX.00.00.00.00.00,10,20,40,80,,75-78,80,40,20,10,X,,,
,0x463:,1,4,23-26,300#00.00.00.XX.00.00.00.00,01,02,04,08,,71-74,08,04,02,01,X,,,
,0x473:,1,4,27-30,300#00.00.00.XX.00.00.00.00,10,20,40,80,,67-70,80,40,20,10,X,,,
,,,,,,,,,,,,,,,,,,,
,0x464:,2,4,31-34,300#00.00.00.00.XX.00.00.00,01,02,04,08,,63-66,08,04,02,01,X,,,
,0x474:,2,4,35-38,300#00.00.00.00.XX.00.00.00,10,20,40,80,,59-62,80,40,20,10,X,,,
,0x465:,2,4,39-42,300#00.00.00.00.00.XX.00.00,01,02,04,08,,55-58,08,04,02,01,X,,,
,0x475:,2,4,43-46,300#00.00.00.00.00.XX.00.00,10,20,40,80,,51-54,80,40,20,10,X,,,
,0x466:,2,4,47-50,300#00.00.00.00.00.00.XX.00,01,02,04,08,,47-50,08,04,02,01,X,,,
,0x476:,2,4,51-54,300#00.00.00.00.00.00.XX.00,10,20,40,80,,43-46,80,40,20,10,X,,,
,,,,,,,,,,,,,,,,,,,
,0x468:,3,4,55-58,300#00.00.00.00.00.00.00.XX,01,02,04,08,,39-42,08,04,02,01,X,,,
,0x478:,3,4,59-62,300#00.00.00.00.00.00.00.XX,10,20,40,80,,35-38,80,40,20,10,X,,,
,0x469:,3,4,63-66,310#XX.00.00.00.00,01,02,04,08,,31-34,08,04,02,01,X,,,
,0x479:,3,4,67-70,310#XX.00.00.00.00,10,20,40,80,,27-30,80,40,20,10,X,,,
,0x46A:,3,4,71-74,310#00.XX.00.00.00,01,02,04,08,,23-26,08,04,02,01,X,,,
,0x47A:,3,4,75-78,310#00.XX.00.00.00,10,20,40,80,,19-22,80,40,20,10,X,,,
,,,,,,,,,,,,,,,,,,,
,0x46C:,4,3,79-81,310#00.00.XX.00.00,01,02,04,,,16-18,04,02,01,,X,,,
,0x47C:,4,3,82-84,310#00.00.XX.00.00,08,10,20,,,13-15,20,10,08,,X,,,
,0x46D:,4,3,85-87,310#00.00.00.XX.00,01,02,04,,,10-12,04,02,01,,X,,,
,0x47D:,4,3,88-90,310#00.00.00.XX.00,08,10,20,,,7-9,20,10,08,,X,,,
,0x46E:,4,3,91-93,310#00.00.00.00.XX,01,02,04,,,4-6,04,02,01,,X,0000 0100,0000 0010,0000 0001
Negative,0x47E:,4,3,94-96,310#00.00.00.00.XX,08,10,20,,,1-3,20,10,08,,X,0010 0000,0001 0000,1000 0000
